mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
218.0822_0.977,6341.114790909091,26602.371127272727,0.2383665260728652,0.0132,-2.0687464432290628,1.8794260687941502,218.0822,0.977,8992.771499999999,218.0822_0.977,218.0822_0.977,1,6341.114790909091,28725.583572727275,0.22074798845616805,0.0161,-2.179527803367112,1.7931741239681502,218.0822,0.977,8992.771499999999,218.0822_0.977,218.0822_0.977,1
229.0023_1.031,35745.31709090909,125592.50054545455,0.28461346764866835,0.00151,-1.812924164399492,2.8210230527068307,229.0023,1.031,62402.686499999996,Cluster_229.0023_1.031,229.0023_1.031;229.0173_1.02,2,35745.31709090909,71795.206,0.497878884711454,0.0221,-1.0061332635927331,1.6556077263148892,229.0023,1.031,62402.686499999996,Cluster_229.0023_1.031,229.0023_1.031;229.0173_1.02,2
229.0174_0.829,38252.375181818185,111646.68936363637,0.34261987883249395,0.00595,-1.5453192357565773,2.2254830342714502,229.0174,0.829,52141.09,229.0174_0.829,229.0174_0.829,1,38252.375181818185,66508.21490909091,0.5751526369201878,0.0365,-0.7979832182995685,1.4377071355435254,229.0174,0.829,52141.09,229.0174_0.829,229.0174_0.829,1
230.9966_2.338,11864.730163636365,36597.69478181818,0.3241933743195976,0.0277,-1.6250734887140097,1.5575202309355514,230.9966,2.338,17104.2415,230.9966_2.338,230.9966_2.338,1,11864.730163636365,32619.765454545453,0.36372824875670756,0.00944,-1.4590671186165425,2.025028005701931,230.9966,2.338,17104.2415,230.9966_2.338,230.9966_2.338,1
232.0985_0.835,9520.884054545455,49843.03190909091,0.19101735367765485,1.58e-4,-2.3882243837079487,3.8013429130455774,232.0985,0.835,7158.094300000001,232.0985_0.835,232.0985_0.835,1,9520.884054545455,3114.4726545454546,3.05698110421682,7.81e-6,1.6121076346792698,5.1073489661227,232.0985,0.835,7158.094300000001,232.0985_0.835,232.0985_0.835,1
243.1041_0.908,32768.25190909091,60998.63790909091,0.537196452778617,0.0376,-0.8964783165099338,1.424812155072339,243.1041,0.908,44235.181,243.1041_0.908,243.1041_0.908,1,32768.25190909091,78021.49236363637,0.4199900683310087,3.85e-4,-1.2515728825650463,3.4145392704914994,243.1041,0.908,44235.181,243.1041_0.908,243.1041_0.908,1
259.0127_1.039,9983.810627272727,40443.78845454546,0.24685646446038245,0.00857,-2.0182556692824423,2.067019178076802,259.0127,1.039,23913.763,259.0127_1.039,259.0127_1.039,1,9983.810627272727,46748.77463636364,0.2135630442708288,1.75e-4,-2.2272660754832723,3.7569619513137056,259.0127,1.039,23913.763,259.0127_1.039,259.0127_1.039,1
259.0278_1.04,17990.3095,62396.67918181818,0.28832158595456486,0.0153,-1.794249242848811,1.8153085691824011,259.0278,1.04,30078.0625,259.0278_1.04,259.0278_1.04,1,17990.3095,66027.549,0.272466716885099,0.00918,-1.8758480863463136,2.0371573187987577,259.0278,1.04,30078.0625,259.0278_1.04,259.0278_1.04,1
275.0558_2.36,14141.570127272727,32177.856,0.43948142869657714,0.0344,-1.1861258926436826,1.4634415574284698,275.0558,2.36,16557.8235,275.0558_2.36,275.0558_2.36,1,14141.570127272727,41940.71245454546,0.3371800167343149,0.00319,-1.568409058644728,2.496209316942819,275.0558,2.36,16557.8235,275.0558_2.36,275.0558_2.36,1
279.1234_0.839,4995.8777272727275,11720.961800000001,0.42623445178984604,0.00984,-1.2302808865213548,2.0070049015686586,279.1234,0.839,8538.9055,279.1234_0.839,279.1234_0.839,1,4995.8777272727275,11208.707045454545,0.4457140067104083,2.79e-5,-1.165809796054521,4.554395796726403,279.1234,0.839,8538.9055,279.1234_0.839,279.1234_0.839,1
282.0471_0.951,3721.756018181818,10250.490336363637,0.36308077916808335,0.0189,-1.4616375363627299,1.723538195826756,282.0471,0.951,8151.540500000001,282.0471_0.951,282.0471_0.951,1,3721.756018181818,10632.202045454545,0.3500456445683267,5.82e-4,-1.5143850388331461,3.2350770153501114,282.0471,0.951,8151.540500000001,282.0471_0.951,282.0471_0.951,1
289.0021_2.845,10569.653990909092,41697.61220909091,0.2534834354041188,0.0389,-1.9800366215883145,1.4100503986742923,289.0021,2.845,18912.374000000003,289.0021_2.845,289.0021_2.845,1,10569.653990909092,32840.13360909091,0.3218517353407833,0.0223,-1.635531847382622,1.6516951369518393,289.0021,2.845,18912.374000000003,289.0021_2.845,289.0021_2.845,1
356.0984_4.734,2905.900743181818,4864.441554545455,0.5973760216044681,0.0357,-0.7432887651840837,1.4473317838878068,356.0984,4.734,4088.259,356.0984_4.734,356.0984_4.734,1,2905.900743181818,5912.859572727273,0.4914543813259356,0.0156,-1.0248705885743976,1.8068754016455384,356.0984,4.734,4088.259,356.0984_4.734,356.0984_4.734,1
439.1031_2.332,9219.259018181818,14293.737281818181,0.6449859009168186,0.00726,-0.6326604706300814,2.1390633792999063,439.1031,2.332,12493.1,439.1031_2.332,439.1031_2.332,1,9219.259018181818,17643.054509090907,0.5225432485872231,0.00366,-0.9363776472820102,2.4365189146055894,439.1031,2.332,12493.1,439.1031_2.332,439.1031_2.332,1
459.2375_0.514,4452.588290909091,17340.07278181818,0.25678025386247644,4.97e-4,-1.9613938299271056,3.303643611266668,459.2375,0.514,5305.42625,459.2375_0.514,459.2375_0.514,1,4452.588290909091,26798.725454545456,0.16614925580924844,0.037,-2.5894482637455383,1.431798275933005,459.2375,0.514,5305.42625,459.2375_0.514,459.2375_0.514,1
