mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
449.1074_3.962,2924.3829370553813,1529.1800869341596,1.912386227130679,0.00767,0.9353739206487893,2.1152046360510193,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
452.1908_4.095,15117.952268884868,36490.6483327624,0.4142966200825628,0.00133,-1.2712640443264955,2.876148359032914,452.1908,4.095,11119.526,Cluster_452.1908_4.095,452.1908_4.095;565.2487_4.089,2
454.2063_4.046,16821.266521794496,30651.932864317903,0.5487832234350295,0.0168,-0.8656917165782371,1.7746907182741372,454.2063,4.046,15865.8815,454.2063_4.046,454.2063_4.046,1
475.2465_3.874,6527.560483149212,12167.40253837866,0.5364793728620264,0.0177,-0.8984053931352979,1.7520267336381934,475.2465,3.874,10845.5375,475.2465_3.874,475.2465_3.874,1
490.1469_4.11,2684.1136993439877,5234.330439704342,0.5127902661597341,0.0143,-0.9635592180640198,1.8446639625349381,490.1469,4.11,2194.5601,490.1469_4.11,490.1469_4.11,1
491.2414_4.923,1743.4738539373525,2885.104725953717,0.6043017566237633,0.0211,-0.7266589591236343,1.6757175447023074,491.2414,4.923,2940.6623499999996,491.2414_4.923,491.2414_4.923,1
513.2982_4.083,2946.5935623279465,6230.578161491282,0.4729245803446726,0.0202,-1.0803179667948042,1.6946486305533763,513.2982,4.083,4796.23,513.2982_4.083,513.2982_4.083,1
531.3637_0.503,4280.009234707402,10603.233251464215,0.4036513328721096,0.012,-1.3088184393459141,1.9208187539523751,531.3637,0.503,5941.222,531.3637_0.503,531.3637_0.503,1
572.3994_0.467,4634.310559293387,8280.111706828682,0.5596917920166983,0.028,-0.8372955043873763,1.5528419686577808,572.3994,0.467,5469.10325,572.3994_0.467,572.3994_0.467,1
577.2497_3.628,5758.983712270896,10679.473401350657,0.5392572738223725,0.0335,-0.8909543634428647,1.4749551929631548,577.2497,3.628,6702.782999999999,577.2497_3.628,577.2497_3.628,1
579.2641_3.674,2359.074175763357,5572.969729495469,0.42330647576959435,0.0331,-1.2402255356210177,1.4801720062242814,579.2641,3.674,2293.99095,579.2641_3.674,579.2641_3.674,1
593.3316_0.527,23695.562771932513,12597.991548039685,1.8809000372459903,0.0297,0.9114231770898811,1.5272435506827877,593.3316,0.527,7312.478499999999,593.3316_0.527,593.3316_0.527,1
595.3943_0.51,7971.196840817973,18667.09650983947,0.4270185690965028,0.00381,-1.2276292874281254,2.4190750243243806,595.3943,0.51,10493.1125,Cluster_595.3943_0.51,571.3939_0.505;595.3943_0.51,2
696.649_0.442,1262.971302955209,2218.7209674849837,0.5692339512105669,0.0478,-0.8129063828079687,1.320572103387881,696.649,0.442,1178.7161,696.649_0.442,696.649_0.442,1
86.06_5.38,11067.518853997997,33520.95586635692,0.33016716164427273,0.00129,-1.5987314576430682,2.889410289700751,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1
