mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
469.3014_4.532,10838.616687987153,7140.295129244604,1.5179507978032003,0.0242,0.602125028621805,1.6161846340195687,469.3014,4.532,7130.1175,469.3014_4.532,469.3014_4.532,1
516.207_6.311,4679.512867961343,29502.21663843278,0.1586156364218851,0.0444,-2.6563930951168775,1.3526170298853801,516.207,6.311,5687.85155,516.207_6.311,516.207_6.311,1
540.4236_0.454,540.1746870613563,1201.7950897866015,0.44947320192269485,3.21e-4,-1.153692991618673,3.493494967595128,540.4236,0.454,1112.4715,Cluster_540.4236_0.454,540.4236_0.454;568.4552_0.447,2
553.3887_0.421,12272.199566339421,4221.384584473928,2.9071503249137844,0.0212,1.539605673263085,1.6736641390712486,553.3887,0.421,5309.41085,553.3887_0.421,553.3887_0.421,1
593.3316_0.527,27743.29911674949,16138.417896151497,1.7190841937093098,0.0102,0.7816402038458732,1.9913998282380825,593.3316,0.527,7312.478499999999,593.3316_0.527,593.3316_0.527,1
595.3477_2.702,6093.742051556427,1811.1285095222086,3.3646105284732166,0.0294,1.7504395148921157,1.5316526695878427,595.3477,2.702,2003.4378000000002,595.3477_2.702,595.3477_2.702,1
595.3478_0.525,37764.98611798041,10157.108781893925,3.7180842431559182,0.022,1.894559458747547,1.6575773191777938,595.3478,0.525,9716.7275,595.3478_0.525,595.3478_0.525,1
595.3479_0.782,20692.252264335333,9131.978846094225,2.2659111035047426,0.0192,1.1800912622843784,1.7166987712964503,595.3479,0.782,2462.6342999999997,595.3479_0.782,595.3479_0.782,1
607.1285_8.059,68117.44026435493,2326.604955211929,29.277613336016536,2.16e-8,4.871726047121592,7.665546248849069,607.1285,8.059,1345.5619000000002,Cluster_607.1285_8.059,431.0967_8.053;607.1285_8.059,2
86.06_5.38,17288.027018557787,36659.72664221497,0.4715809036789165,0.0287,-1.0844227962591073,1.5421181032660076,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1
