m.z,r.t,p.value,t.score,mode
355.1198,2.415,0.0942,-1.848939267,negative
170.122,7.798,0.0948,1.845010687,positive
308.1853,1.095,0.0954,-1.841383986,positive
246.9915,4.007,0.0956,1.839696771,negative
574.0803,3.839,0.0956,-1.840214352,negative
425.1445,3.761,0.0959,1.837810757,negative
389.0906,0.595,0.0964,1.834799898,negative
258.9915,0.564,0.0966,-1.833515219,negative
202.1185,4.047,0.0968,1.832127364,positive
307.1868,5.097,0.0972,-1.830024538,positive
182.081,1.497,0.0974,-1.828416737,positive
552.06,3.78,0.0974,-1.828363393,negative
251.0131,1.996,0.0978,-1.8259651,negative
337.1097,0.926,0.0978,-1.826319115,negative
188.9861,3.886,0.0981,1.824480125,negative
159.1496,7.852,0.0984,1.822232824,positive
295.1547,0.818,0.0991,-1.817831998,negative
385.1256,3.911,0.0993,-1.8165418,positive
198.0529,5.13,0.0994,-1.816400148,positive
319.1866,5.073,0.0994,-1.815962022,positive
292.1577,0.516,0.0997,-1.814216402,positive
145.1699,7.412,0.101,-1.805857113,positive
269.1382,0.482,0.101,1.804301494,positive
469.3014,4.532,0.101,1.805893405,positive
194.9968,4.711,0.101,1.805648363,negative
293.0802,0.982,0.101,-1.805105575,negative
448.1967,5.689,0.101,-1.804879802,negative
163.0247,5.69,0.102,-1.80079228,negative
527.1963,3.633,0.102,-1.800794714,negative
201.1356,7.005,0.103,1.795083142,negative
228.0885,0.942,0.103,-1.795803772,negative
459.1642,2.435,0.103,-1.797195678,negative
280.1651,3.874,0.104,-1.78829103,positive
254.161,4.479,0.105,1.781838125,positive
378.1755,3.998,0.105,-1.78274917,positive
553.3887,0.421,0.105,1.78354938,positive
327.0724,2.431,0.105,-1.781975971,negative
517.1523,3.699,0.106,1.775245359,negative
146.0812,0.629,0.107,-1.77247756,positive
176.0108,4.197,0.107,1.770127261,positive
208.1807,5.435,0.107,1.773048019,positive
204.9812,3.557,0.107,1.769271523,negative
283.1649,0.513,0.107,1.772807057,negative
326.0987,3.437,0.107,1.769852653,negative
353.1042,2.363,0.107,-1.773602406,negative
265.1524,0.556,0.108,-1.766428306,positive
246.0444,5.448,0.108,-1.763169307,negative
295.0816,4.004,0.108,1.762548405,negative
515.1935,3.917,0.108,-1.767540334,negative
255.0974,5.375,0.109,1.760329384,positive
274.1827,0.517,0.109,1.759174349,positive
289.0693,5.7,0.109,-1.760772737,negative
345.1675,3.926,0.109,-1.758086114,negative
351.1053,2.385,0.109,-1.7589231,negative
545.1677,3.916,0.109,-1.759091055,negative
231.0676,2.297,0.11,-1.755513914,negative
246.0976,0.832,0.11,-1.752160921,negative
293.0332,3.975,0.111,-1.747488402,negative
149.0597,5.975,0.112,-1.741600327,positive
203.1478,5.105,0.112,1.740551896,positive
125.0243,0.867,0.112,-1.74156243,negative
284.0796,7.959,0.113,-1.737447397,positive
302.1959,1.349,0.113,1.738744501,positive
351.1583,6.884,0.113,1.739586294,positive
243.0715,4.453,0.113,1.739717152,negative
327.0499,3.959,0.114,-1.730919981,positive
327.1515,4.429,0.114,-1.729179425,positive
553.2285,0.519,0.114,1.729032653,negative
325.1527,4.364,0.115,-1.7271466,positive
123.0553,5,0.116,1.719045569,positive
408.206,4.557,0.116,-1.718292921,positive
275.0709,4.9,0.116,-1.721683988,negative
317.0854,3.496,0.116,1.72270533,negative
350.0879,4.725,0.116,1.719766243,negative
533.2041,3.926,0.116,-1.72216895,negative
392.1553,0.566,0.117,-1.71416739,positive
204.1421,5.101,0.118,1.710178915,positive
299.1366,4.533,0.118,-1.708248436,positive
347.2191,4.123,0.118,-1.709751822,positive
153.0193,1.076,0.118,-1.712739009,negative
329.0873,5.474,0.118,1.709233004,negative
364.0972,0.554,0.118,-1.711395025,negative
