"p.value","m.z","t.score","r.t"
0.0728,121.0647,2.004515857,3.848
0.0736,188.176,1.997939645,8.261
0.0736,387.0248,1.998002727,3.58
0.0737,305.1818,-1.997078809,5.115
0.0738,241.1294,1.996811527,5.434
0.0739,538.0701,1.996012201,3.804
0.0742,172.0977,-1.993571958,0.843
0.0747,511.1599,-1.989102792,2.441
0.0747,723.3398,-1.989592274,0.537
0.0749,540.2079,-1.988148627,3.902
0.0753,339.065,1.984712964,3.661
0.0754,269.1504,1.983704554,0.514
0.0755,215.1035,-1.983297487,5.773
0.0757,261.1807,-1.980988502,3.948
0.0757,248.0237,1.981609636,3.389
0.0759,364.196,-1.979640767,3.866
0.0759,363.0285,1.980136993,3.439
0.076,277.1076,-1.97902962,0.844
0.0766,230.103,1.974473116,0.515
0.0769,145.0142,-1.972167873,5.656
0.0771,204.9812,1.97053449,3.521
0.0773,312.2168,-1.969146775,0.956
0.0773,246.9915,1.96882372,4.253
0.0787,330.1905,1.957622202,3.683
0.0792,139.0398,-1.95430988,0.519
0.0792,272.9588,1.954088314,10.091
0.0796,349.039,-1.951370553,3.936
0.0797,455.318,-1.950491589,2.305
0.0804,213.9964,-1.944794157,1.026
0.0805,397.1261,-1.944025076,4.74
0.0806,377.1447,-1.943529185,5.659
0.0809,195.0655,-1.941678121,0.844
0.0819,618.1817,-1.933835626,1.581
0.0825,339.0737,1.929593372,6.209
0.0825,612.1748,-1.929757279,3.869
0.0839,128.9597,-1.919536409,5.323
0.0839,429.0379,1.919145297,2.569
0.0841,185.1648,1.918251205,5.491
0.0842,547.1866,-1.917043257,3.913
0.0843,137.071,1.916162246,3.801
0.0843,267.0727,1.91648612,4.074
0.0864,287.244,1.901746046,7.296
0.0866,271.1654,1.900493676,0.513
0.0867,192.9813,-1.899681455,2.941
0.0867,615.2464,-1.899260346,4.094
0.0872,203.1393,1.895907328,5.108
0.0873,335.1864,1.895418563,0.5
0.0879,275.0227,-1.890971411,1.969
0.0885,329.1058,-1.88727569,0.558
0.089,249.1815,-1.883634826,3.858
0.0912,342.2636,-1.868596238,0.484
0.0923,141.0661,1.86112618,5.379
0.0926,388.0434,1.85937538,4.724
0.093,418.1022,-1.857114052,3.043
0.0935,569.2416,1.85350832,0.916
0.0938,160.0972,-1.851879722,5.086
0.0942,222.9743,-1.849010873,1.003
0.0942,355.1198,-1.848939267,2.415
0.0948,170.122,1.845010687,7.798
0.0954,308.1853,-1.841383986,1.095
0.0956,246.9915,1.839696771,4.007
0.0956,574.0803,-1.840214352,3.839
0.0959,425.1445,1.837810757,3.761
0.0964,389.0906,1.834799898,0.595
0.0966,258.9915,-1.833515219,0.564
0.0968,202.1185,1.832127364,4.047
0.0972,307.1868,-1.830024538,5.097
0.0974,182.081,-1.828416737,1.497
0.0974,552.06,-1.828363393,3.78
0.0978,251.0131,-1.8259651,1.996
0.0978,337.1097,-1.826319115,0.926
0.0981,188.9861,1.824480125,3.886
0.0984,159.1496,1.822232824,7.852
0.0991,295.1547,-1.817831998,0.818
0.0993,385.1256,-1.8165418,3.911
0.0994,198.0529,-1.816400148,5.13
0.0994,319.1866,-1.815962022,5.073
0.0997,292.1577,-1.814216402,0.516
0.101,145.1699,-1.805857113,7.412
0.101,269.1382,1.804301494,0.482
0.101,469.3014,1.805893405,4.532
0.101,194.9968,1.805648363,4.711
0.101,293.0802,-1.805105575,0.982
0.101,448.1967,-1.804879802,5.689
0.102,163.0247,-1.80079228,5.69
0.102,527.1963,-1.800794714,3.633
0.103,201.1356,1.795083142,7.005
0.103,228.0885,-1.795803772,0.942
0.103,459.1642,-1.797195678,2.435
0.104,280.1651,-1.78829103,3.874
0.105,254.161,1.781838125,4.479
0.105,378.1755,-1.78274917,3.998
0.105,553.3887,1.78354938,0.421
0.105,327.0724,-1.781975971,2.431
0.106,517.1523,1.775245359,3.699
0.107,146.0812,-1.77247756,0.629
0.107,176.0108,1.770127261,4.197
0.107,208.1807,1.773048019,5.435
0.107,204.9812,1.769271523,3.557
0.107,283.1649,1.772807057,0.513
0.107,326.0987,1.769852653,3.437
0.107,353.1042,-1.773602406,2.363
0.108,265.1524,-1.766428306,0.556
0.108,246.0444,-1.763169307,5.448
0.108,295.0816,1.762548405,4.004
0.108,515.1935,-1.767540334,3.917
0.109,255.0974,1.760329384,5.375
0.109,274.1827,1.759174349,0.517
0.109,289.0693,-1.760772737,5.7
0.109,345.1675,-1.758086114,3.926
0.109,351.1053,-1.7589231,2.385
0.109,545.1677,-1.759091055,3.916
0.11,231.0676,-1.755513914,2.297
