"p.value","m.z","t.score","r.t"
0.0258,288.0876,2.615470987,2.429
0.0259,315.1808,-2.613017789,0.91
0.026,261.1807,-2.661936538,4.595
0.026,471.2021,-2.61179364,0.864
0.0263,353.1042,-2.603281628,2.363
0.0264,247.0924,-2.652228967,6.031
0.0264,305.1818,-2.651540951,5.115
0.0264,281.0251,-2.60254658,3.123
0.0266,330.2274,-2.646820438,1.901
0.0269,353.0888,-2.591975946,1.003
0.027,357.1184,-2.589273241,4.427
0.027,412.1428,-2.588596935,0.561
0.0272,229.1548,-2.634604641,5.62
0.0275,345.1675,-2.577965218,3.926
0.0276,545.1677,-2.575820467,3.916
0.028,364.0853,-2.567800134,0.563
0.0281,174.1125,-2.614117369,0.823
0.0281,341.1704,2.613845947,5.083
0.0281,303.0719,2.566465341,4.804
0.0282,244.1782,-2.61180781,1.066
0.0282,194.0456,2.563464472,0.519
0.0282,371.137,-2.56404968,5.203
0.0283,331.161,-2.561896305,1.03
0.0284,335.095,-2.559199096,0.782
0.0286,204.9812,-2.555913129,0.851
0.0286,443.1009,-2.554596697,0.567
0.0287,86.06,-2.601237103,5.38
0.0288,381.137,-2.550404883,0.563
0.0294,595.3477,2.585660295,2.702
0.0294,427.2136,-2.539603901,0.542
0.0297,231.0676,-2.533395696,2.297
0.0298,315.0831,-2.53212752,3.586
0.03,230.1863,2.574673528,4.368
0.0301,233.1505,-2.525448934,7.606
0.0303,217.1656,-2.56790469,3.908
0.0303,272.992,-2.521870697,1.032
0.0307,197.0454,-2.514823086,3.508
0.0309,303.066,-2.509664281,2.439
0.0309,393.0116,2.510820136,3.844
0.0312,208.0612,-2.505486701,0.516
0.0315,383.1703,2.498441548,0.521
0.0316,247.0817,-2.496508605,0.843
0.0317,291.1062,-2.540669091,6.1
0.0317,257.0122,-2.496053579,1.017
0.032,181.0624,-2.534653789,1.495
0.0321,181.0504,-2.487666333,3.057
0.0322,212.129,-2.487044107,0.833
0.0323,385.1682,-2.484377523,2.449
0.0325,157.0971,2.525784239,5.014
0.0326,285.1557,-2.52406175,7.39
0.0327,150.0694,-2.522195111,1.101
0.0328,337.0938,-2.474895363,3.48
0.0328,413.2172,-2.475264128,0.519
0.0328,517.1523,2.475691062,3.699
0.033,233.1495,-2.51609186,8.034
0.0331,96.9696,-2.469511497,7.956
0.0337,431.1165,-2.45884348,2.279
0.0338,213.0766,-2.457998818,4.042
0.034,165.0534,2.454243386,0.912
0.0343,233.0116,2.44990301,3.162
0.0344,231.0378,2.489723927,5.108
0.0346,246.0976,-2.444935657,0.832
0.035,223.0973,-2.437893949,0.837
0.0351,147.0298,-2.435212934,5.173
0.0351,351.0566,-2.436142611,8.859
0.0352,341.1963,-2.434831452,0.855
0.0353,272.1239,-2.473911169,7.242
0.0357,272.0764,2.467522774,5.633
0.0358,371.0979,-2.425038891,5.681
0.0359,496.1979,-2.421815078,0.524
0.0363,269.1245,-2.457524879,6.119
0.0364,338.1759,2.455592447,1.329
0.0365,229.0174,-2.412778025,0.829
0.037,181.0718,-2.405701692,5.323
0.037,459.2375,-2.404564859,0.514
0.0371,353.1236,-2.402849042,1.057
0.0374,227.1287,-2.398469926,0.785
0.0375,198.1133,-2.396735231,0.851
0.0376,144.1028,-2.436769997,4.464
0.0376,240.9658,-2.395635602,1.039
0.0377,260.0231,-2.394350655,7.103
0.0378,600.2839,-2.392158476,3.862
0.0379,193.0353,-2.390241414,3.249
0.0382,184.0977,-2.385784925,1.118
0.0382,259.0129,-2.386239513,8.077
0.0384,181.0609,-2.424076628,1.423
0.0387,499.112,-2.378752593,3.373
0.039,267.1246,2.413134331,0.529
0.039,464.191,-2.373525323,3.704
0.0394,405.1177,-2.368067809,2.095
0.0396,237.1128,-2.364480059,0.821
0.0396,351.0893,-2.364717652,2.059
0.0397,118.0867,-2.403267188,4.678
0.0398,377.1447,-2.362181711,5.659
0.0401,410.1275,-2.358397431,2.212
0.0403,238.1548,2.394062992,5.5
0.0411,182.0577,-2.382432688,5.354
0.0412,406.1702,-2.380756011,4.529
0.0412,477.1233,2.342090568,1.01
0.0415,232.0283,-2.33756492,5.427
0.0417,339.1871,2.373554909,0.5
0.042,325.0364,-2.330962357,3.989
0.0421,147.0298,-2.329830831,6.996
0.0424,246.1812,-2.362845408,7.713
0.0425,342.1008,-2.323738688,0.561
0.0427,233.0584,-2.321297361,0.821
0.0427,301.0518,-2.320430685,2.391
0.0428,215.1035,-2.319473214,5.773
0.0429,306.1705,-2.356436989,1.305
0.0435,264.1191,-2.347024492,6.316
0.0437,265.1304,2.344992472,1.09
0.0437,139.0764,-2.30694193,0.897
0.0438,249.0627,-2.305693485,5.154
0.044,254.1498,2.340421541,4.993
0.044,251.0519,-2.302844876,7.281
0.0442,273.1211,-2.336944833,4.643
0.0443,289.002,-2.298985776,3.528
0.0444,516.207,-2.334437359,6.311
0.0445,100.0757,-2.333237103,0.957
0.0445,187.0416,-2.297022496,2.303
0.0446,197.0468,-2.295619014,2.723
0.0449,229.9984,-2.291197109,1.043
0.0455,337.1424,2.319725042,2.92
0.0455,370.0962,-2.2841725,2.969
0.0466,182.0579,-2.305758991,4.331
0.0466,197.0541,-2.269761717,1.058
0.0469,249.0785,-2.265724361,3.569
0.0472,327.089,-2.262637871,3.578
0.0473,365.1425,-2.261134535,0.559
0.0478,325.1744,2.290271908,0.519
0.0479,241.1294,-2.288225887,5.434
0.0479,290.8472,2.288478036,5.298
0.0479,411.1293,-2.253289707,0.569
0.0481,157.0503,-2.251081633,0.513
0.0484,341.1373,2.282280797,2.931
0.0484,341.0323,-2.24731969,2.697
0.0484,571.2532,-2.247513359,0.525
0.0489,164.0715,-2.240858133,4.437
0.049,387.2017,-2.239781773,0.89
0.049,425.1117,-2.239669103,3.872
0.0491,528.263,-2.239158662,4.027
0.0492,287.0229,-2.237213753,1.497
0.0494,445.207,-2.235430931,3.608
0.0494,527.1811,-2.23493829,2.365
0.0495,307.1868,-2.268910761,5.097
0.0498,276.1442,-2.264403044,5.613
0.0501,166.1333,-2.261123771,1.023
0.0501,399.095,-2.227260247,6.765
0.0504,507.2243,-2.223277134,0.539
0.0506,229.0864,2.25521668,0.532
0.051,135.0299,-2.216489694,8.49
0.051,313.1652,-2.216820765,0.951
0.051,424.1437,-2.215915645,0.564
0.0511,195.0515,-2.215076073,0.84
0.0516,173.9866,2.210024175,2.442
0.0516,507.1128,-2.209170203,2.331
0.0517,370.1324,-2.208379047,0.553
0.052,207.0477,-2.205342868,2.382
0.0522,312.2284,-2.235620773,1.053
0.0525,565.1698,2.199657051,3.303
0.0526,261.0484,-2.230995626,5.649
0.0526,575.3863,-2.231674018,0.86
0.0532,307.084,-2.191137468,4.173
0.0533,277.0844,-2.190254255,0.837
0.0536,217.0929,-2.186632371,1.022
0.0538,289.0383,-2.184445922,0.566
0.0539,465.2489,-2.183593294,0.518
0.0544,188.0563,-2.177877218,4.907
0.0546,427.0695,-2.176309681,3.454
0.0548,308.1853,-2.206525491,1.095
0.0548,327.089,-2.173690431,3.629
0.055,274.092,-2.203644713,6.927
0.0554,715.3355,-2.167488807,0.55
0.0555,255.1338,2.198756371,6.529
0.0558,579.2125,-2.163221698,2.377
0.0559,144.1021,-2.19405398,3.801
0.0559,247.0628,-2.162570659,4.341
0.056,425.181,-2.160912065,0.529
0.0561,260.1646,2.191439015,3.678
0.0564,154.0256,-2.156615038,0.927
0.0567,199.0974,-2.153811988,1.354
0.0567,425.0374,-2.153573537,8.429
0.0571,231.1236,-2.149317527,0.974
0.0572,259.0924,-2.179309811,6.027
0.0573,287.0229,-2.147125227,1.479
0.0575,403.1027,2.14563102,3.097
0.0577,251.0134,-2.143334449,3.423
0.058,204.9812,2.139886738,3.521
0.0582,537.2331,-2.138523289,0.562
0.0585,449.2533,-2.135293433,0.518
0.0587,165.0405,2.133344355,6.024
0.059,183.1023,-2.129719033,0.506
0.0594,235.0569,-2.12665134,7.02
0.0598,277.1868,2.152582821,4.613
0.06,231.1702,-2.15075195,5.351
0.06,279.089,-2.119973914,3.497
0.0603,730.1411,2.117174333,3.843
0.0605,195.0511,-2.114884672,6.805
