m.z,r.t.,p.value,t.score,mode
591.3172,0.523,0.0232,2.678082338,negative
160.108,4.58,0.0235,2.72150214,positive
300.217,0.93,0.0235,-2.72281253,positive
342.1724,3.926,0.0235,2.722857809,positive
259.0568,7.075,0.0236,-2.666220439,negative
176.0108,4.794,0.0237,2.717139698,positive
411.2019,3.666,0.0238,-2.661343803,negative
196.0283,4.94,0.0239,-2.660833747,negative
469.3014,4.532,0.0242,2.705170398,positive
351.1268,3.641,0.0243,-2.65094333,negative
355.1198,2.415,0.0243,-2.650332662,negative
359.1707,0.969,0.0243,-2.650168018,negative
577.1969,0.559,0.0243,-2.651397672,negative
324.0725,5.673,0.0245,2.645673742,negative
181.0805,5.323,0.0246,-2.642758971,negative
162.0229,4.073,0.0247,-2.641345665,negative
513.07,3.923,0.0247,2.640204689,negative
364.196,3.866,0.0253,-2.678047976,positive
338.0519,5.673,0.0253,2.626697315,negative
501.1778,3.92,0.0254,-2.625169417,negative
288.0876,2.429,0.0258,2.615470987,negative
315.1808,0.91,0.0259,-2.613017789,negative
261.1807,4.595,0.026,-2.661936538,positive
471.2021,0.864,0.026,-2.61179364,negative
353.1042,2.363,0.0263,-2.603281628,negative
247.0924,6.031,0.0264,-2.652228967,positive
305.1818,5.115,0.0264,-2.651540951,positive
281.0251,3.123,0.0264,-2.60254658,negative
330.2274,1.901,0.0266,-2.646820438,positive
353.0888,1.003,0.0269,-2.591975946,negative
357.1184,4.427,0.027,-2.589273241,negative
412.1428,0.561,0.027,-2.588596935,negative
229.1548,5.62,0.0272,-2.634604641,positive
345.1675,3.926,0.0275,-2.577965218,negative
545.1677,3.916,0.0276,-2.575820467,negative
364.0853,0.563,0.028,-2.567800134,negative
174.1125,0.823,0.0281,-2.614117369,positive
341.1704,5.083,0.0281,2.613845947,positive
303.0719,4.804,0.0281,2.566465341,negative
244.1782,1.066,0.0282,-2.61180781,positive
194.0456,0.519,0.0282,2.563464472,negative
371.137,5.203,0.0282,-2.56404968,negative
331.161,1.03,0.0283,-2.561896305,negative
335.095,0.782,0.0284,-2.559199096,negative
204.9812,0.851,0.0286,-2.555913129,negative
443.1009,0.567,0.0286,-2.554596697,negative
86.06,5.38,0.0287,-2.601237103,positive
381.137,0.563,0.0288,-2.550404883,negative
595.3477,2.702,0.0294,2.585660295,positive
427.2136,0.542,0.0294,-2.539603901,negative
231.0676,2.297,0.0297,-2.533395696,negative
315.0831,3.586,0.0298,-2.53212752,negative
230.1863,4.368,0.03,2.574673528,positive
233.1505,7.606,0.0301,-2.525448934,negative
217.1656,3.908,0.0303,-2.56790469,positive
