m/z,rt,p-value,t-score,mode
336.1218,3.046,0.159,-1.52209071,negative
336.1323,3.647,0.456,-0.776060286,negative
337.0556,0.777,0.564,-0.597041218,negative
337.056,3.104,0.819,-0.23480499,negative
337.1446,4.025,0.778,0.289772993,negative
337.1469,3.591,0.788,0.276493005,negative
338.0632,3.433,0.527,-0.654712618,negative
338.0879,3.557,0.589,0.558248405,negative
338.1178,2.307,0.34,-1.001631456,negative
339.1082,4.74,0.918,-0.105404386,negative
341.1234,4.519,0.963,-0.047590092,negative
343.0666,0.756,0.591,0.555450392,negative
343.0669,2.881,0.401,0.876922916,negative
343.0855,4.396,0.711,0.381544575,negative
343.0855,4.765,0.327,1.030744372,negative
343.1396,5.368,0.00855,-3.261652893,negative
344.0448,0.677,0.818,0.23623764,negative
345.0438,0.668,0.165,-1.496826177,negative
345.1552,6.009,0.59,-0.556514268,negative
345.1553,5.874,0.423,-0.834507354,negative
345.1554,3.382,0.0176,-2.839922429,negative
345.1554,4.506,0.00622,-3.450951406,negative
345.1933,4.201,0.0497,-2.23116674,negative
347.0424,0.697,0.533,-0.644940486,negative
347.059,0.674,0.327,-1.029605865,negative
347.0774,4.782,0.0407,2.349122868,negative
347.079,0.706,0.0981,-1.824293573,negative
347.0881,3.328,0.28,-1.141641357,negative
347.1678,4.233,0.0362,-2.418549553,negative
347.17,3.394,0.0487,-2.243781977,negative
348.0769,2.315,0.303,1.085046724,negative
349.0207,0.696,0.597,-0.546490258,negative
349.059,0.669,0.211,-1.337757849,negative
350.088,3.366,0.761,-0.312739514,negative
350.088,3.952,0.704,-0.390708743,negative
351.0199,0.667,0.0321,-2.488484236,negative
351.0566,0.663,0.0739,-1.99587731,negative
351.07,3.888,0.226,1.289995031,negative
352.0859,5.224,0.591,-0.55474526,negative
354.1007,4.717,0.0826,-1.928803805,negative
354.1009,5.03,0.11,-1.754954367,negative
355.1037,4.621,9.22E-04,-4.639780429,negative
356.031,0.667,0.699,-0.397544132,negative
356.0987,0.796,0.733,-0.351389909,negative
356.1002,2.592,0.591,0.555654607,negative
