mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
749.3826_0.829,749.3826,0.829,502.63895,749.3826_0.829,749.3826_0.829,1
234.1136_0.825,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
227.1277_0.83,227.1277,0.83,52838.648,Cluster_227.1277_0.83,227.1277_0.83;245.1382_0.832,2
290.1021_0.834,290.1021,0.834,20005.3525,290.1021_0.834,290.1021_0.834,1
207.1049_0.834,207.1049,0.834,59158.21,207.1049_0.834,207.1049_0.834,1
254.1399_0.822,254.1399,0.822,4129.2,254.1399_0.822,254.1399_0.822,1
208.0968_0.848,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
165.1386_0.836,165.1386,0.836,6545.09175,165.1386_0.836,165.1386_0.836,1
340.2477_0.841,340.2477,0.841,21726.257,340.2477_0.841,340.2477_0.841,1
316.2476_0.839,316.2476,0.839,71547.82,316.2476_0.839,316.2476_0.839,1
