m/z,rt,p-value,t-score
368.0998,0.802,0.114,-1.7294242089083876
368.9723,3.004,0.769,-0.30158282730018565
369.0829,3.476,0.319,1.0477841189331647
369.1552,5.993,0.00384,-3.7410997825905477
369.1737,5.331,0.623,-0.5071529894681837
369.1737,6.099,0.0943,-1.8485651398824092
370.0781,2.895,0.79,-0.2730229802859695
370.0786,0.733,0.879,-0.15643831039800876
370.0972,3.765,0.143,-1.587519253466981
370.097,3.208,0.0726,-2.0065741435916316
370.0981,3.747,0.0583,-2.137729754118295
371.0241,0.671,0.718,-0.37212135739940094
371.0976,0.801,0.446,0.7937258825982751
371.0978,3.481,0.396,0.887311440999985
372.0951,0.795,0.643,-0.47742021948060276
372.1099,3.404,0.027,-2.5879932916878134
372.1116,3.914,0.00267,-3.9641241472141195
373.1067,2.937,0.354,0.972780296757573
373.1139,4.04,0.332,-1.019412059440378
373.1141,3.685,0.241,1.2450864669829582
373.1514,3.715,0.333,1.0178683313206942
374.0316,2.965,0.671,0.4381636043069504
374.1378,5.008,0.172,-1.4705458267363365
375.054,0.665,0.53,-0.6509725563981983
375.0931,2.077,0.499,0.7007971784934341
375.1278,3.109,0.119,1.705820614330903
375.1294,0.798,0.147,1.5728881305246256
375.1294,4.074,0.0136,-2.9875046872838436
377.0353,0.713,0.93,0.0900283400953077
377.0526,0.697,0.93,-0.09058946651702739
377.1019,5.09,0.708,-0.3853467510686868
379.0336,0.708,0.0751,-1.9860893482966435
379.0338,3.038,0.0722,-2.0094744756619236
379.0686,0.661,0.935,-0.08404271711909503
379.0909,2.789,0.386,0.9071930994563233
379.091,3.484,0.354,0.9713852115191784
379.1393,5.891,0.716,0.37495430844263655
379.1607,3.652,0.263,-1.1867326136732916
379.1607,4.047,0.279,-1.1440408587360662
379.1955,5.602,0.332,-1.0192076041164444
380.0301,1.155,0.848,-0.196059976091262
381.0301,1.155,0.733,-0.35032801848285694
381.0802,3.385,0.586,0.5634795726976246
381.1551,6.237,0.513,0.6786519497036038
382.9875,3.002,0.601,-0.5405998811769417
383.0324,2.787,0.774,-0.29541767611556957
383.0464,3.601,0.0838,-1.9204004973277875
383.053,3.466,0.606,-0.5323421758658665
383.0644,2.771,0.206,-1.351704641561521
383.1529,4.559,0.247,-1.229825630854887
383.153,4.885,0.602,-0.5380964901975802
384.0537,2.335,0.173,1.4656224455134736
385.1498,5.181,8.72e-5,-6.316286581191004
385.1685,4.355,0.0484,-2.247769753374991
385.1861,4.524,0.314,1.060928468078745
387.1489,5.77,0.0196,-2.774909072471244
387.1658,5.117,0.221,-1.3050300059281918
388.047,2.937,0.719,0.3702513235576428
388.047,3.398,0.85,-0.19449069851123996
388.047,3.472,0.79,-0.27303080240218386
389.0528,0.7,0.645,0.4744705764313521
389.0919,4.531,0.305,-1.0822789416918284
389.0981,4.564,0.0313,-2.5018290504916663
