Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
183.0661,C00588,M-H[-],0.867,0.000523533,EC000108
179.0709,C00590,M-H[-],0.842,0.000423533,EC000109
195.0655,C00590,M-H+O[-],0.844,0.000733533,EC000109
220.0976,C00590,M+ACN-H[-],0.844,0.000268533,EC000109
225.0762,C00590,M+HCOO[-],0.841,4.50E-05,EC000109
239.0922,C00590,M+CH3COO[-],0.965,0.000305,EC000109
239.09221,C00590,M+CH3COO[-],0.817,0.000315,EC000109
382.1367,C00611,M-H[-],0.564,0.001176467,EC000110
175.0245,C00618,M-H2O-H[-],0.522,0.000323533,EC00049
175.0246,C00618,M-H2O-H[-],5.38,0.000223533,EC00050
175.02469,C00618,M-H2O-H[-],5.701,0.000133533,EC00051
175.024698,C00618,M-H2O-H[-],4.153,0.000125533,EC00052
193.0352,C00618,M-H[-],7.568,0.000223533,EC00053
193.03525,C00618,M-H[-],7.691,0.000173533,EC00053
193.0353,C00618,M-H[-],3.249,0.000123533,EC00054
253.0559,C00618,M+CH3COO[-],7.542,9.50E-05,EC00053
325.0944,C00621,M-H2O-H[-],5.667,0.003110533,EC000111
188.0563,C00624,M-H[-],4.907,0.000123533,EC000112
230.0222,C00627,M-H2O-H[-],3.68,0.000123533,EC000113
230.0225,C00627,M-H2O-H[-],3.623,0.000176467,EC000113
153.0193,C00628,M-H[-],1.076,2.35E-05,EC000114
153.01933,C00628,M-H[-],3.42,6.47E-06,EC000115
194.0458,C00628,M+ACN-H[-],0.984,6.85E-05,EC000114
152.0354,C00632,M-H[-],1.011,7.65E-05,EC000116
151.0401,C00642,M-H[-],1,7.65E-05,EC000117
192.0664,C00642,M+ACN-H[-],0.98,0.000168533,EC000117
211.06139,C00642,M+CH3COO[-],0.897,0.000795,EC000117
220.0825,C00645,M-H[-],5.686,0.000123533,EC00038
229.0385,C00647,M-H2O-H[-],1.025,0.000176467,EC000118
249.0534,C00669,M-H[-],0.86,0.001623533,EC000119
