mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
145.0618_3.339,145.0618,3.339,94846.43,145.0618_3.339,145.0618_3.339,1,,,,
145.0619_6.606,145.0619,6.606,164250.875,145.0619_6.606,145.0619_6.606,1,,,,
145.0982_8.275,145.0982,8.275,21051.2745,145.0982_8.275,145.0982_8.275,1,,,,
147.0297_3.639,147.0297,3.639,46820.803,147.0297_3.639,147.0297_3.639,1,,,,
147.0298_5.173,147.0298,5.173,61440.5545,147.0298_5.173,147.0298_5.173,1,,,,
147.0298_5.656,147.0298,5.656,58587.794,147.0298_5.656,147.0298_5.656,1,,,,
147.0298_6.996,147.0298,6.996,50588.4385,147.0298_6.996,147.0298_6.996,1,,,,
149.0092_7.63,149.0092,7.63,36986.935,149.0092_7.63,149.0092_7.63,1,,,,
149.0092_7.798,149.0092,7.798,63411.205,149.0092_7.798,149.0092_7.798,1,,,,
149.0455_5.186,149.0455,5.186,113658.695,149.0455_5.186,149.0455_5.186,1,,,,
149.0455_5.396,149.0455,5.396,77347.428,149.0455_5.396,149.0455_5.396,1,,,,
149.0455_5.659,149.0455,5.659,65925.9875,149.0455_5.659,149.0455_5.659,1,,,,
150.0559_3.673,150.0559,3.673,10112.2715,150.0559_3.673,150.0559_3.673,1,,,,
150.056_0.992,150.056,0.992,4183.8873,Cluster_194.0458_0.984,150.056_0.992;194.0458_0.984,2,,,,
151.007_5.656,151.007,5.656,66686.765,Cluster_151.007_5.656,151.007_5.656;295.0296_5.65,2,,,,
151.0255_1.019,151.0255,1.019,93333.458,151.0255_1.019,151.0255_1.019,1,,,,
151.0261_3.2,151.0261,3.2,68141.635,151.0261_3.2,151.0261_3.2,1,,,,
151.0401_1,151.0401,1,210322.47,151.0401_1,151.0401_1,1,,,,
151.0612_4.846,151.0612,4.846,106275.94,151.0612_4.846,151.0612_4.846,1,,,,
152.0354_1.011,152.0354,1.011,10316.608,152.0354_1.011,152.0354_1.011,1,,,,
153.0047_1.043,153.0047,1.043,41240.6485,153.0047_1.043,153.0047_1.043,1,,,,
153.0193_1.076,153.0193,1.076,59612.7615,153.0193_1.076,153.0193_1.076,1,,,,
153.0193_3.42,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1,,,,
153.0919_0.843,153.0919,0.843,98369.845,153.0919_0.843,153.0919_0.843,1,,,,
