p.value,m.z,t.score,r.t,pos_inx
0.307,262.0286,1.077524456,0.664,0
0.307,403.197,-1.077305027,0.807,0
0.307,495.1174,-1.076040781,4.369,0
0.307,383.0941,-1.075725776,2.983,1
0.307,448.1978,-1.076162867,4.334,1
0.308,178.0557,-1.07510933,3.444,0
0.308,189.16,1.073055839,0.615,1
0.309,222.1134,1.072742711,5.811,0
0.309,254.1765,-1.071272456,6.358,1
0.313,193.0351,1.061723459,0.617,0
0.313,276.0018,-1.062653308,0.763,0
0.313,199.1069,-1.061724935,3.734,1
0.314,552.3496,-1.059213667,5.214,1
0.315,168.0777,1.058067178,0.606,0
0.315,221.1178,-1.058572487,5.185,0
0.316,219.0524,-1.054858912,2.85,0
0.316,607.1267,-1.055031211,3.483,0
0.317,144.0665,1.05418883,0.781,0
0.318,146.0609,-1.051235919,0.789,1
0.319,223.0969,-1.047646204,5.259,0
0.319,605.3265,-1.048591511,2.998,1
0.321,165.0557,1.043390964,4.102,0
0.321,277.0852,-1.044249771,0.658,0
0.322,264.1168,1.041081293,3.46,0
0.322,333.0634,-1.042326264,0.694,0
0.324,222.1126,1.03762316,4.749,1
0.325,245.1137,1.035177686,0.783,0
0.325,359.0566,-1.035704889,0.67,0
0.325,500.282,-1.03589807,5.708,0
0.325,153.0658,1.035417586,0.769,1
0.326,479.0506,-1.032127703,0.791,0
0.326,258.1269,-1.031923297,3.305,1
0.326,413.1052,-1.032169569,2.633,1
0.327,300.0195,-1.030579252,0.687,0
0.327,305.0863,-1.029619248,2.684,1
0.329,209.0452,-1.026413891,3.24,0
0.329,509.0519,-1.025516078,2.681,0
0.33,230.9969,-1.024452658,3.457,0
0.33,321.0622,1.023218315,3.448,0
0.33,149.0598,-1.023713272,4.188,1
0.33,191.1066,-1.023788217,5.298,1
0.33,285.1804,1.023470119,5.23,1
0.331,723.3228,-1.021660767,3.019,1
0.333,908.2639,-1.017176451,4.165,0
0.333,288.1616,1.018089868,4.254,1
0.333,354.1544,-1.01819339,3.176,1
0.333,588.3229,-1.017130368,4.257,1
0.334,197.0442,-1.014723798,3.134,0
0.334,492.1871,-1.015865245,5.243,0
0.336,384.1146,1.011736588,2.579,1
0.337,651.105,-1.008910545,3.812,1
0.338,272.2382,-1.005720802,4.968,1
0.339,373.1067,-1.004284925,2.937,0
0.339,547.1106,-1.004659,0.67,0
0.34,330.1909,1.002543687,3.491,1
0.341,577.1184,-0.999101803,2.969,0
0.342,389.0528,-0.997222769,0.7,0
0.342,455.7883,-0.996737206,4.34,1
0.343,436.1558,0.995933157,3.898,1
0.345,273.2384,-0.991300064,4.97,1
0.348,147.0298,-0.984824536,0.76,0
0.348,319.1032,-0.984359108,0.789,0
0.349,208.0646,0.981766149,0.766,0
0.349,257.153,0.982566145,5.622,1
0.351,191.0523,0.978430291,0.699,0
0.351,243.0329,-0.977813323,4.371,0
0.352,489.2111,-0.97553622,3.578,0
0.352,611.1667,0.976294078,3.462,0
0.352,680.2306,0.975729993,4.136,0
0.353,358.2585,0.974225207,4.768,1
0.356,411.20213,-0.968648159,5.398,0
0.356,363.1428,-0.967739821,4.369,1
0.357,131.0494,-0.966582795,4.532,1
0.359,191.0267,0.960451288,0.755,0
0.359,295.0806,0.961780461,3.721,0
0.36,286.1284,0.959687107,2.172,1
0.362,731.4168,-0.955720091,3.418,1
0.363,279.049,-0.954013002,3.659,0
0.363,114.0669,0.952174775,0.645,1
0.363,149.0596,-0.953848876,0.765,1
0.364,78.9585,0.951943939,0.702,0
0.366,422.0501,-0.946966747,0.727,0
0.367,345.1553,0.944747429,5.874,0
0.367,391.0993,0.944190135,4.492,0
0.368,320.0597,0.942127125,0.683,0
0.368,363.1657,0.942627862,4.345,0
0.368,530.3214,-0.942533431,4.045,1
0.369,218.9961,-0.94109258,0.686,0
0.369,210.0607,-0.94087966,1.159,1
0.37,690.3154,0.939483245,4.751,0
0.37,303.0741,-0.938478369,3.467,1
0.371,363.1658,-0.937501142,4.172,0
0.371,180.0739,-0.935933153,3.473,1
0.372,283.1287,0.934964104,4.036,1
0.373,203.002,-0.932080313,3.205,0
0.374,286.2113,-0.929645491,4.609,1
0.375,685.341,0.927560456,5.775,0
0.375,279.1332,-0.92865485,3.64,1
0.379,307.1184,0.921152112,6.294,0
0.38,369.1552,0.91758349,5.993,0
0.383,217.0486,0.913122617,0.63,0
0.383,399.0203,0.911992764,0.683,0
0.384,435.2232,0.910212279,5.611,0
0.384,439.16088,0.911097572,4.66,0
0.386,213.1234,-0.90729438,0.672,1
0.388,444.1861,0.902592389,4.37,1
0.389,421.0558,-0.900073844,3.818,0
0.389,199.1068,-0.900949443,3.168,1
0.389,398.1823,-0.900335187,5.89,1
0.39,557.2465,0.897792118,7.479,0
0.391,250.0718,-0.896965262,3.655,0
0.391,389.1043,-0.895900113,2.952,0
0.392,439.1607,0.895070122,4.307,0
0.392,163.1243,0.89381052,0.654,1
0.393,356.2429,0.892808387,5.382,1
0.394,219.0457,0.890015987,0.629,0
0.394,331.091,0.891282091,2.747,0
0.394,649.0893,0.889814169,3.836,0
0.394,180.0658,-0.890345056,3.481,1
