m.z,r.t,p.value,t.score,mode
261.0232,0.668,0.785,-0.280717309,negative
261.039,0.66,0.044,2.304028637,negative
262.0286,0.664,0.307,1.077524456,negative
262.0364,0.654,0.485,0.725032629,negative
262.9863,0.693,0.996,-0.004862074,negative
263.0249,0.69,0.448,-0.790281657,negative
263.0272,2.81,0.165,-1.499876145,negative
263.0573,0.662,0.761,-0.312694555,negative
263.1041,2.759,0.801,0.259354594,negative
263.1041,2.796,0.631,0.496074853,negative
263.1046,3.466,0.607,0.530653654,negative
263.1054,2.91,0.262,-1.188006488,negative
263.1397,2.777,0.759,0.315663127,negative
263.141,3.465,0.589,0.558066647,negative
264.0876,3.875,0.609,0.528214248,negative
264.1168,3.46,0.322,1.041081293,negative
264.9884,0.68,0.458,0.771188015,negative
265.0184,2.828,0.0677,-2.048118277,negative
265.1192,4.316,0.859,-0.181817162,negative
267.1235,7.063,0.565,-0.59584776,negative
269.1505,4.575,0.217,1.317006385,negative
269.1506,4.275,0.226,1.290944647,negative
273.0073,0.807,0.116,-1.720773867,negative
273.0074,3.349,0.182,-1.434428573,negative
274.0026,0.671,0.885,-0.148851458,negative
274.0027,2.51,0.669,-0.441006729,negative
274.0396,0.676,0.402,0.875796559,negative
274.039,0.769,0.428,0.825305779,negative
275.0216,0.69,0.753,-0.323051613,negative
275.0221,0.754,0.902,-0.12607477,negative
275.0224,3.427,0.165,-1.499251724,negative
275.0569,0.663,0.119,-1.706778615,negative
276.0009,3.151,0.262,-1.187711218,negative
276.0018,0.763,0.313,-1.062653308,negative
277.0021,0.707,0.728,0.358193017,negative
277.0349,0.667,0.826,0.225035299,negative
277.052,0.659,0.0742,1.993031981,negative
277.0852,0.658,0.321,-1.044249771,negative
278.0698,0.683,0.224,1.296537579,negative
279.0491,3.95,0.596,-0.547758431,negative
279.049,3.659,0.363,-0.954013002,negative
279.0984,3.799,0.107,1.772104093,negative
279.9896,3.301,0.459,0.769775661,negative
281.1142,4.039,0.218,1.314617425,negative
282.0473,0.802,0.668,-0.44218047,negative
283.0822,3.328,0.867,0.171331929,negative
283.0822,3.893,0.864,0.17569559,negative
283.1657,5.239,0.19,1.407347828,negative
287.0195,0.66,0.0962,1.836304922,negative
287.0227,3.548,0.826,-0.225297736,negative
287.0526,0.66,0.568,0.590032683,negative
289.0363,0.688,0.281,-1.140704506,negative
289.0528,0.664,0.227,-1.286149089,negative
289.0702,0.663,0.225,-1.292367484,negative
290.0877,0.662,0.834,0.214957706,negative
291.0345,0.717,0.995,-0.00648291,negative
291.0683,0.654,0.624,-0.506221068,negative
293.0301,0.685,0.853,-0.190684021,negative
293.0331,2.576,0.132,-1.64098537,negative
293.0676,0.65,0.241,-1.247178766,negative
293.0743,2.543,0.763,0.309616791,negative
295.0242,4.354,0.608,0.52935403,negative
295.0252,3.897,0.773,0.296378074,negative
295.0806,3.721,0.359,0.961780461,negative
295.0815,4.242,0.216,1.321746669,negative
295.1298,3.641,0.42,-0.840417431,negative
296.0197,0.697,0.895,0.13517431,negative
296.9824,0.699,0.634,0.491086942,negative
297.0975,4.072,1.17E-06,10.34340338,negative
297.0975,4.498,7.15E-08,13.92122564,negative
298.0002,3.49,0.606,-0.532986784,negative
299.0779,3.509,0.229,1.282251801,negative
299.1247,0.784,0.18,1.442748254,negative
300.0195,0.687,0.327,-1.030579252,negative
300.039,0.661,0.503,0.694764284,negative
301.0547,0.665,0.534,-0.644869705,negative
301.0563,0.774,0.903,0.12466523,negative
302.0532,0.694,0.169,1.483825029,negative
302.1145,3.69,0.934,-0.085027723,negative
303.0177,0.795,0.0568,-2.153008826,negative
303.0178,3.212,0.0517,-2.20796495,negative
303.0365,0.684,0.637,0.486912972,negative
303.0532,0.705,0.165,-1.499540557,negative
303.0712,0.728,0.502,-0.697051605,negative
303.072,2.684,0.201,-1.36767789,negative
305.1604,5.512,0.916,0.10822382,negative
306.9561,3.814,0.719,0.370300684,negative
307.0326,0.669,0.99,-0.013192452,negative
307.1184,6.294,0.379,0.921152112,negative
308.0774,3.378,0.675,0.43216134,negative
308.0983,0.658,0.783,0.283461791,negative
310.9691,1.162,0.443,-0.798573952,negative
310.9761,0.719,0.941,-0.076078531,negative
311.0752,3.182,0.464,-0.761417918,negative
313.0567,0.793,0.611,-0.524487526,negative
313.0569,3.13,0.75,-0.327783767,negative
313.9951,2.734,0.908,-0.118220544,negative
313.995,4.031,0.857,-0.184251197,negative
313.999,0.818,0.834,-0.21527354,negative
315.0338,0.673,0.687,-0.415095435,negative
315.0713,0.751,0.754,-0.322482566,negative
317.1602,5.227,0.52,0.66653955,negative
318.064,0.674,0.515,0.675677513,negative
319.0474,0.696,0.413,0.8541736,negative
319.1032,0.789,0.348,-0.984359108,negative
319.1396,5.493,0.143,1.589178602,negative
