"p.value","m.z","t.score","r.t"
0.0604,424.0493,2.11591879,0.721
0.117,425.145,-1.71319067,4.374
0.555,427.0844,-0.610392791,2.991
0.116,427.1967,-1.722088774,4.894
0.0154,427.197,-2.915237167,3.64
0.0117,427.197,-3.079158899,4.049
0.736,428.0941,0.346065919,2.98
0.293,428.0955,1.109291872,4.037
0.74,428.0976,-0.341109236,3.601
0.882,429.0423,0.151980595,3.352
9.46e-07,429.0815,10.57962044,4.032
5.58e-07,429.082,11.19791342,3.756
1.13e-06,429.083,10.3764677,3.201
0.0311,429.1762,2.506596978,5.798
0.0179,431.0534,-2.827705732,0.666
9.66e-07,431.0979,10.55563022,3.907
0.413,432.1213,-0.854890075,3.706
0.00117,433.0646,4.483248322,4.045
0.000751,433.1136,4.775541057,4.519
7.6e-07,433.113,10.83276733,4.886
0.366,433.2076,0.945986687,5.283
0.971,433.2077,-0.03768331,4.995
0.0272,434.1396,-2.584975785,3.922
0.411,435.2232,0.858839536,5.611
0.963,437.0497,0.047735975,3.488
0.0284,437.0526,2.560460627,5.832
0.0707,437.18,2.022704755,7.078
0.912,439.056,-0.112715279,0.753
0.407,439.1146,-0.865448718,6.219
0.719,439.1607,0.36944722,4.307
0.852,439.1608,0.191886982,3.725
0.675,439.1608,0.431746074,4.66
0.704,441.0612,0.390486283,2.876
0.386,441.1026,-0.905821705,3.212
0.544,442.19,-0.627946319,5.313
0.204,443.1557,1.358041141,5.98
2.34e-05,445.0782,7.392075031,4.484
0.518,445.0903,-0.670112989,0.667
0.875,445.1072,-0.161181685,3.893
0.686,446.1795,0.416668768,4.499
0.801,446.1831,0.259385074,4.341
0.171,446.2907,1.474939569,6.081
0.0923,446.2908,1.861109786,6.024
0.533,446.2909,0.645641229,6.562
0.0177,447.0919,2.835809037,4.504
0.016,447.0921,2.895355088,4.067
0.000159,447.0928,5.862939641,3.777
0.0082,447.092,3.286365523,4.187
0.346,448.1961,0.98951185,5.778
0.284,448.1966,-1.132441637,4.911
0.845,448.3058,0.200687133,6.47
0.0215,449.0698,2.722287388,2.589
0.000194,449.1074,5.717156826,4.301
0.0305,449.254,-2.516931888,8.044
0.187,457.0689,-1.417737439,0.726
0.334,457.0963,-1.014923105,2.367
0.993,457.097,-0.008546736,2.652
0.153,457.2207,-1.548509815,6.206
0.187,458.9733,1.415723461,3.815
0.0348,459.0843,2.440971129,2.964
0.308,459.0924,-1.073956188,4.452
1.91e-08,459.093,15.97524757,3.801
0.121,459.1504,1.694340811,4.33
0.737,459.1629,-0.345086185,2.778
0.462,461.0863,-0.765644293,3.571
0.695,461.1337,-0.403924641,5.706
0.624,461.2388,0.506360499,5.842
0.286,462.1766,-1.126578338,4.998
0.0712,463.0831,-2.018092429,5.418
0.0142,463.2334,-2.964802599,5.897
0.656,464.0663,-0.458645892,2.822
0.249,464.1436,1.223040895,2.856
0.424,464.1437,0.834181271,2.772
0.228,464.1437,1.283772365,2.808
0.39,464.1438,0.897676808,3.474
