mz_rt,Yellow,Red,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,pre,post,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
345.1933_4.201,10369.9486,1866.045545,0.179947425,0.0321,-2.474352639,1.493494968,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2,12357.69187,1866.045545,0.151002757,0.0497,-2.727353202,1.303643611,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2
359.1353_0.806,3753.824718,2024.473191,0.539309462,0.0141,-0.890814748,1.850780887,359.1353,0.806,3162.00415,359.1353_0.806,359.1353_0.806,1,3950.443964,2024.473191,0.512467259,0.011,-0.964468259,1.958607315,359.1353,0.806,3162.00415,359.1353_0.806,359.1353_0.806,1
361.1499_3.066,11634.79332,3888.546018,0.334217026,0.0309,-1.581142865,1.510041521,361.1499,3.066,6873.50235,361.1499_3.066,361.1499_3.066,1,14769.30638,3888.546018,0.263285622,0.0131,-1.925299356,1.882728704,361.1499,3.066,6873.50235,361.1499_3.066,361.1499_3.066,1
369.0829_3.476,14423.17999,5780.058627,0.400747868,0.0353,-1.319233251,1.452225295,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1,14548.33238,5780.058627,0.397300424,0.0129,-1.331697761,1.88941029,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1
373.1141_3.685,16057.56549,7890.090645,0.491362819,0.015,-1.025139401,1.823908741,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1,16755.48645,7890.090645,0.470895946,0.00754,-1.086519792,2.122628654,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1
413.1426_4.219,37560.03784,9053.628745,0.241044186,0.023,-2.052630463,1.638272164,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1,42821.01409,9053.628745,0.211429573,0.00577,-2.241750909,2.238824187,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1
413.1426_4.51,59069.19119,12293.72845,0.208124205,0.0234,-2.264483334,1.630784143,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4,65793.15118,12293.72845,0.186854228,0.00305,-2.420014889,2.515700161,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4
413.1436_3.2,5845.404,1498.841273,0.256413632,0.0494,-1.963455129,1.306273051,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1,5497.282264,1498.841273,0.272651321,0.0463,-1.874870948,1.334419009,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
427.197_3.64,12520.26473,2664.428555,0.212809283,0.0256,-2.232367013,1.591760035,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1,11970.28706,2664.428555,0.222586855,0.0154,-2.167559697,1.812479279,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1
427.197_4.049,17697.87367,4099.447091,0.231635007,0.0385,-2.110074791,1.41453927,427.197,4.049,5658.1725,427.197_4.049,427.197_4.049,1,16697.56879,4099.447091,0.245511616,0.0117,-2.026136812,1.931814138,427.197,4.049,5658.1725,427.197_4.049,427.197_4.049,1
572.2105_4.512,2643.537047,733.3780427,0.277423024,0.0118,-1.849840568,1.928117993,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1,2926.888559,733.3780427,0.250565755,0.03,-1.996738839,1.522878745,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1
576.1384_0.705,2032.092655,1078.614398,0.53078997,0.0108,-0.913786987,1.966576245,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1,2177.942655,1078.614398,0.495244627,0.00169,-1.013786771,2.772113295,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1
691.3179_4.171,7835.889077,1080.561956,0.137899088,0.0271,-2.858315181,1.567030709,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1,11459.11673,1080.561956,0.094297142,0.0211,-3.406642146,1.675717545,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1
